,60.00%,80.00%,90.00%,99.00%
5220,1.464229,3.534703,8.812884,144.257387
5230,1.466247,3.532105,8.820517,144.502856
5240,1.467569,3.526754,8.812477,144.756850
5250,1.468211,3.523605,8.801050,145.040530
5260,1.471340,3.521283,8.794499,145.305941
5270,1.474363,3.521606,8.780128,145.568682
5280,1.473395,3.521185,8.768363,145.831573
5290,1.473687,3.519441,8.757635,146.077759
5300,1.472874,3.520779,8.746386,146.313301
5310,1.472978,3.528868,8.737494,146.569197
5320,1.472588,3.525542,8.727441,146.820228
5330,1.471773,3.525760,8.713957,147.058499
5340,1.471857,3.524674,8.709609,147.275648
5350,1.471236,3.524325,8.697658,147.499019
5360,1.470629,3.519854,8.686201,147.734947
5370,1.470001,3.517438,8.674948,147.976112
5380,1.472032,3.514916,8.674946,148.208336
5390,1.472462,3.512425,8.671816,148.431623
5400,1.472710,3.508169,8.685985,148.672060
5410,1.472027,3.506802,8.692538,148.918144
5420,1.470703,3.504059,8.716173,149.171435
5430,1.471080,3.502776,8.714390,149.420176
5440,1.471251,3.500046,8.702558,149.693966
5450,1.470362,3.497818,8.695877,150.004255
5460,1.470886,3.496048,8.683190,150.321325
5470,1.470317,3.495348,8.674048,150.614873
5480,1.472249,3.490698,8.678260,150.889664
5490,1.471768,3.498306,8.686813,151.112703
5500,1.471960,3.500992,8.687486,151.334502
5510,1.474588,3.496979,8.675079,151.539402
5520,1.475267,3.497365,8.669543,151.703638
5530,1.476434,3.493960,8.684202,151.864227
5540,1.476081,3.499557,8.708502,152.024757
5550,1.475689,3.497804,8.736438,152.177733
5560,1.476441,3.501997,8.766791,152.333592
5570,1.475365,3.502305,8.779137,152.488311
5580,1.474474,3.503011,8.773930,152.661483
5590,1.475292,3.502703,8.768770,152.828953
5600,1.475098,3.509381,8.759511,152.981594
5610,1.476332,3.507798,8.750836,153.153974
5620,1.475928,3.504709,8.749237,153.321156
5630,1.476859,3.506967,8.740286,153.474684
5640,1.478366,3.506311,8.740193,153.610870
5650,1.479355,3.510756,8.740666,153.738263
5660,1.479105,3.518039,8.730142,153.877574
5670,1.477902,3.514787,8.718881,154.012507
5680,1.479197,3.511679,8.710232,154.157163
5690,1.478093,3.512348,8.705873,154.299225
5700,1.477175,3.509323,8.696935,154.426583
5710,1.475870,3.518303,8.716658,154.560203
5720,1.478335,3.520589,8.749508,154.668729
5730,1.484356,3.518917,8.772312,154.775156
5740,1.485582,3.515845,8.796346,154.891117
5750,1.484885,3.532279,8.815880,154.985049
5760,1.483344,3.543663,8.837180,155.084470
5770,1.484215,3.541529,8.863353,155.159709
5780,1.483187,3.537167,8.888643,155.232343
5790,1.482815,3.536799,8.912845,155.290891
5800,1.483780,3.532562,8.930188,155.355112
5810,1.483836,3.536855,8.957457,155.433806
5820,1.482471,3.534522,8.965635,155.508479
5830,1.482124,3.531277,8.967740,155.567217
5840,1.483101,3.535341,8.963402,155.610056
5850,1.484335,3.542610,8.976988,155.647706
5860,1.483777,3.539550,8.970305,155.672216
5870,1.483325,3.538360,8.963228,155.697828
5880,1.482567,3.534769,8.953155,155.725664
5890,1.481572,3.535920,8.958905,155.770358
5900,1.480327,3.535306,8.972211,155.819149
5910,1.479039,3.533917,8.987393,155.858450
5920,1.477769,3.533107,9.023705,155.865004
5930,1.476665,3.528518,9.063158,155.865621
5940,1.476313,3.524513,9.103803,155.873691
5950,1.475436,3.520235,9.125055,155.874148
5960,1.475412,3.516549,9.135567,155.904609
5970,1.474352,3.513219,9.146682,155.951065
5980,1.473683,3.510512,9.148406,155.985498
5990,1.473127,3.514715,9.157846,156.023426
6000,1.476155,3.512484,9.157604,156.047136
6010,1.476215,3.515960,9.170556,156.064999
6020,1.475259,3.513716,9.174516,156.100089
6030,1.476395,3.512331,9.173895,156.144578
6040,1.475339,3.519082,9.170174,156.215153
6050,1.474848,3.518333,9.159665,156.292836
6060,1.473225,3.520969,9.150629,156.372940
6070,1.472148,3.517813,9.159019,156.471944
6080,1.472391,3.521559,9.165299,156.560770
