,60.0%,80.0%,90.0%,99.0%
3240,0.585475,0.784337,0.895753,0.991785
3250,0.585776,0.784092,0.895415,0.991810
3260,0.585926,0.783403,0.895365,0.991836
3270,0.585851,0.783216,0.894980,0.991860
3280,0.585731,0.783188,0.894802,0.991885
3290,0.585959,0.783314,0.894734,0.991910
3300,0.586217,0.783458,0.894594,0.991934
3310,0.585765,0.782903,0.894911,0.991958
3320,0.585497,0.782946,0.894403,0.991983
3330,0.585568,0.783275,0.893891,0.992007
3340,0.585936,0.783470,0.893706,0.992031
3350,0.585369,0.783975,0.893846,0.992055
3360,0.585526,0.784543,0.894126,0.992078
3370,0.585676,0.784495,0.894437,0.992101
3380,0.585604,0.783974,0.894432,0.992126
3390,0.585583,0.784251,0.893637,0.992148
3400,0.585901,0.784499,0.893387,0.992171
3410,0.586112,0.784379,0.893331,0.992194
3420,0.586165,0.784000,0.892684,0.992218
3430,0.586414,0.784085,0.892454,0.992240
3440,0.585891,0.784081,0.892738,0.992263
3450,0.585820,0.783525,0.893027,0.992285
3460,0.586185,0.783011,0.892895,0.992307
3470,0.585922,0.783147,0.893206,0.992330
3480,0.585996,0.782730,0.893514,0.992351
3490,0.586008,0.783297,0.893730,0.992373
3500,0.586343,0.782843,0.893861,0.992395
3510,0.586129,0.781954,0.894158,0.992417
3520,0.586274,0.782175,0.894460,0.992439
3530,0.586828,0.782041,0.894764,0.992460
3540,0.587452,0.781898,0.894759,0.992481
3550,0.587957,0.781707,0.894630,0.992503
3560,0.588092,0.781396,0.894788,0.992524
3570,0.588372,0.780793,0.894691,0.992544
3580,0.588733,0.780952,0.894984,0.992566
3590,0.588972,0.780776,0.894504,0.992586
3600,0.589040,0.780870,0.894526,0.992606
3610,0.588789,0.780542,0.894838,0.992627
3620,0.588570,0.781029,0.895110,0.992647
3630,0.589114,0.781354,0.894797,0.992668
3640,0.589155,0.781848,0.894854,0.992688
3650,0.588741,0.781653,0.894924,0.992708
3660,0.589275,0.781842,0.895220,0.992727
3670,0.589526,0.781668,0.894637,0.992748
3680,0.589252,0.781745,0.894924,0.992767
3690,0.589245,0.782332,0.895205,0.992787
3700,0.589419,0.782937,0.894848,0.992806
3710,0.590058,0.783210,0.894121,0.992825
3720,0.589978,0.782920,0.894174,0.992845
3730,0.589631,0.782871,0.894451,0.992864
3740,0.589841,0.782771,0.894735,0.992883
3750,0.590161,0.782995,0.895019,0.992902
3760,0.590289,0.782489,0.894818,0.992922
3770,0.590326,0.782452,0.894933,0.992940
3780,0.590437,0.782713,0.895130,0.992959
3790,0.590859,0.782810,0.894928,0.992977
3800,0.590499,0.782081,0.895225,0.992996
3810,0.590273,0.782407,0.895446,0.993014
3820,0.590371,0.782771,0.895715,0.993032
3830,0.590732,0.783342,0.895993,0.993051
3840,0.591547,0.783700,0.896266,0.993068
3850,0.591802,0.784245,0.896526,0.993086
3860,0.591717,0.784779,0.896436,0.993105
3870,0.591282,0.785194,0.896068,0.993122
3880,0.591260,0.784920,0.895928,0.993140
3890,0.591734,0.785476,0.895306,0.993158
3900,0.591555,0.785247,0.895102,0.993175
3910,0.591051,0.785128,0.894821,0.993192
3920,0.590620,0.784907,0.895021,0.993210
3930,0.590515,0.785032,0.895147,0.993227
3940,0.590690,0.785484,0.895396,0.993244
3950,0.590842,0.785215,0.895658,0.993262
3960,0.591014,0.784937,0.895926,0.993278
3970,0.590819,0.785136,0.896186,0.993295
3980,0.590569,0.784922,0.895936,0.993312
3990,0.590912,0.785428,0.895686,0.993329
4000,0.590679,0.785320,0.895659,0.993345
4010,0.591098,0.784906,0.895885,0.993362
4020,0.591599,0.785055,0.896156,0.993379
4030,0.591673,0.784935,0.896409,0.993395
4040,0.591724,0.784848,0.896659,0.993412
4050,0.591570,0.784486,0.896612,0.993428
4060,0.591395,0.784208,0.896412,0.993444
4070,0.591359,0.784225,0.895866,0.993460
4080,0.591203,0.784019,0.895991,0.993476
4090,0.591293,0.784321,0.895749,0.993492
4100,0.591294,0.784286,0.895998,0.993508
4110,0.591580,0.784802,0.896108,0.993524
4120,0.591654,0.784870,0.895517,0.993539
4130,0.591887,0.785090,0.895119,0.993555
4140,0.591702,0.785089,0.895374,0.993571
4150,0.591923,0.784594,0.895296,0.993586
4160,0.591791,0.784646,0.895424,0.993602
4170,0.591889,0.784258,0.895639,0.993617
4180,0.592350,0.783991,0.895241,0.993632
4190,0.592231,0.784143,0.895126,0.993648
4200,0.592443,0.784569,0.895303,0.993662
4210,0.592638,0.784541,0.895108,0.993677
4220,0.592458,0.784750,0.894903,0.993692
4230,0.592549,0.784825,0.894996,0.993707
4240,0.592524,0.784931,0.894591,0.993722
4250,0.592379,0.784912,0.894823,0.993737
4260,0.592314,0.784603,0.895072,0.993752
4270,0.592403,0.784341,0.895192,0.993766
4280,0.592881,0.784844,0.894916,0.993782
4290,0.592581,0.785210,0.894565,0.993795
4300,0.592656,0.784916,0.894756,0.993810
4310,0.592933,0.784852,0.894723,0.993824
4320,0.593020,0.784730,0.894976,0.993839
4330,0.593302,0.784129,0.895041,0.993853
4340,0.593376,0.784572,0.894849,0.993867
4350,0.593109,0.784039,0.894597,0.993881
4360,0.593233,0.783906,0.894604,0.993895
4370,0.593218,0.784219,0.894850,0.993909
4380,0.592867,0.784162,0.895086,0.993923
4390,0.592666,0.783763,0.895051,0.993937
4400,0.592708,0.783514,0.894920,0.993950
4410,0.593083,0.783750,0.894343,0.993964
4420,0.593316,0.783583,0.894480,0.993978
4430,0.593041,0.783331,0.894284,0.993991
4440,0.592982,0.783589,0.893990,0.994005
4450,0.593158,0.784067,0.893466,0.994019
4460,0.592653,0.784378,0.893218,0.994032
